timestamp,sbe_receive_time_us,orderbook_update_time_us,arbitrage_detection_time_us,total_processing_time_us,updates_processed,opportunities_found,best_profit_percentage,avg_profit_percentage,symbol
2025-05-18 23:43:17.583,0,20,0,20,1,0,0,0,SOLUSDT
2025-05-18 23:43:17.683,0,89,0,89,1,0,0,0,SOLUSDT
2025-05-18 23:43:17.783,0,36,0,36,1,0,0,0,SOLUSDT
2025-05-18 23:43:17.884,0,56,0,56,1,0,0,0,SOLUSDT
2025-05-18 23:43:17.983,0,33,0,34,1,0,0,0,SOLUSDT
2025-05-18 23:43:18.083,0,113,0,114,1,0,0,0,SOLUSDT
2025-05-18 23:43:18.186,0,50,0,51,1,0,0,0,SOLUSDT
2025-05-18 23:43:18.284,0,38,0,38,1,0,0,0,SOLUSDT
2025-05-18 23:43:18.383,0,61,0,62,1,0,0,0,SOLUSDT
2025-05-18 23:43:18.486,0,54,0,54,1,0,0,0,SOLUSDT
2025-05-18 23:43:18.584,0,31,0,31,1,0,0,0,SOLUSDT
2025-05-18 23:43:18.784,0,62,0,62,1,0,0,0,SOLUSDT
2025-05-18 23:43:18.883,0,43,0,43,1,0,0,0,SOLUSDT
2025-05-18 23:43:18.983,0,58,0,59,1,0,0,0,SOLUSDT
2025-05-18 23:43:19.082,0,26,0,26,1,0,0,0,SOLUSDT
2025-05-18 23:43:19.183,0,69,0,69,1,0,0,0,SOLUSDT
2025-05-18 23:43:19.284,0,57,0,58,1,0,0,0,SOLUSDT
2025-05-18 23:43:19.383,0,13,0,13,1,0,0,0,SOLUSDT
2025-05-18 23:43:19.483,0,19,0,20,1,0,0,0,SOLUSDT
2025-05-18 23:43:19.583,0,49,0,50,1,0,0,0,SOLUSDT
2025-05-18 23:43:19.683,0,58,0,58,1,0,0,0,SOLUSDT
2025-05-18 23:43:19.783,0,28,0,28,1,0,0,0,SOLUSDT
2025-05-18 23:43:19.883,0,59,0,59,1,0,0,0,SOLUSDT
2025-05-18 23:43:19.983,0,46,0,47,1,0,0,0,SOLUSDT
2025-05-18 23:43:20.083,0,53,0,54,1,0,0,0,SOLUSDT
2025-05-18 23:43:20.185,0,98,0,98,1,0,0,0,SOLUSDT
2025-05-18 23:43:20.284,0,57,0,57,1,0,0,0,SOLUSDT
2025-05-18 23:43:20.401,0,100,0,100,1,0,0,0,SOLUSDT
2025-05-18 23:43:20.484,0,52,0,53,1,0,0,0,SOLUSDT
2025-05-18 23:43:20.583,0,74,0,74,1,0,0,0,SOLUSDT
2025-05-18 23:43:20.684,0,62,0,63,1,0,0,0,SOLUSDT
2025-05-18 23:43:20.784,0,29,0,29,1,0,0,0,SOLUSDT
2025-05-18 23:43:20.884,0,52,0,53,1,0,0,0,SOLUSDT
2025-05-18 23:43:20.984,0,67,0,67,1,0,0,0,SOLUSDT
2025-05-18 23:43:21.083,0,54,0,54,1,0,0,0,SOLUSDT
2025-05-18 23:43:21.183,0,10,0,10,1,0,0,0,SOLUSDT
2025-05-18 23:43:21.283,0,33,0,34,1,0,0,0,SOLUSDT
2025-05-18 23:43:21.383,0,65,0,65,1,0,0,0,SOLUSDT
2025-05-18 23:43:21.415,0,27,0,27,1,0,0,0,USDTARS
2025-05-18 23:43:21.483,0,30,0,30,1,0,0,0,SOLUSDT
2025-05-18 23:43:21.583,0,52,0,53,1,0,0,0,SOLUSDT
2025-05-18 23:43:21.683,0,56,0,56,1,0,0,0,SOLUSDT
2025-05-18 23:43:21.783,0,51,0,51,1,0,0,0,SOLUSDT
2025-05-18 23:43:21.884,0,126,0,126,1,0,0,0,SOLUSDT
2025-05-18 23:43:21.983,0,78,0,79,1,0,0,0,SOLUSDT
