timestamp,sbe_receive_time_us,orderbook_update_time_us,arbitrage_detection_time_us,total_processing_time_us,updates_processed,opportunities_found,best_profit_percentage,avg_profit_percentage,symbol
2025-05-18 23:50:16.688,0,338,0,339,1,0,0,0,PAXGUSDT
2025-05-18 23:50:16.700,0,42,0,42,1,0,0,0,PAXGUSDC
2025-05-18 23:50:16.741,0,39,0,39,1,0,0,0,USDCUSDT
2025-05-18 23:50:16.789,0,40,0,40,1,0,0,0,PAXGUSDT
2025-05-18 23:50:16.798,0,46,0,46,1,0,0,0,PAXGUSDC
2025-05-18 23:50:16.887,0,49,0,49,1,0,0,0,PAXGUSDT
2025-05-18 23:50:16.899,0,44,0,45,1,0,0,0,PAXGUSDC
2025-05-18 23:50:16.938,0,35,0,35,1,0,0,0,USDCUSDT
2025-05-18 23:50:16.988,0,51,0,52,1,0,0,0,PAXGUSDT
2025-05-18 23:50:17.089,0,19,0,20,1,0,0,0,PAXGUSDT
2025-05-18 23:50:17.188,0,50,0,51,1,0,0,0,PAXGUSDT
2025-05-18 23:50:17.288,0,56,0,56,1,0,0,0,PAXGUSDT
2025-05-18 23:50:17.298,0,75,0,75,1,0,0,0,PAXGUSDC
2025-05-18 23:50:17.388,0,53,0,53,1,0,0,0,PAXGUSDT
2025-05-18 23:50:17.397,0,25,0,25,1,0,0,0,PAXGUSDC
2025-05-18 23:50:17.538,0,56,0,56,1,0,0,0,USDCUSDT
2025-05-18 23:50:17.588,0,131,0,131,1,0,0,0,PAXGUSDT
2025-05-18 23:50:17.738,0,57,0,58,1,0,0,0,USDCUSDT
2025-05-18 23:50:17.788,0,81,0,82,1,0,0,0,PAXGUSDT
2025-05-18 23:50:17.796,0,52,0,52,1,0,0,0,PAXGUSDC
2025-05-18 23:50:17.837,0,48,0,48,1,0,0,0,USDCUSDT
2025-05-18 23:50:18.038,0,49,0,50,1,0,0,0,USDCUSDT
2025-05-18 23:50:18.238,0,55,0,55,1,0,0,0,USDCUSDT
2025-05-18 23:50:18.788,0,102,0,103,1,0,0,0,PAXGUSDT
2025-05-18 23:50:19.039,0,34,0,34,1,0,0,0,USDCUSDT
2025-05-18 23:50:19.138,0,55,0,55,1,0,0,0,USDCUSDT
2025-05-18 23:50:19.337,0,27,0,27,1,0,0,0,USDCUSDT
2025-05-18 23:50:19.389,0,51,0,51,1,0,0,0,PAXGUSDT
2025-05-18 23:50:19.397,0,55,0,55,1,0,0,0,PAXGUSDC
2025-05-18 23:50:19.438,0,25,0,26,1,0,0,0,USDCUSDT
2025-05-18 23:50:19.496,0,83,0,83,1,0,0,0,PAXGUSDC
2025-05-18 23:50:19.596,0,60,0,61,1,0,0,0,PAXGUSDC
2025-05-18 23:50:19.638,0,50,0,51,1,0,0,0,USDCUSDT
2025-05-18 23:50:19.688,0,71,0,72,1,0,0,0,PAXGUSDT
2025-05-18 23:50:19.697,0,35,0,35,1,0,0,0,PAXGUSDC
2025-05-18 23:50:19.888,0,66,0,66,1,0,0,0,PAXGUSDT
2025-05-18 23:50:19.988,0,43,0,43,1,0,0,0,PAXGUSDT
2025-05-18 23:50:19.995,0,21,0,21,1,0,0,0,PAXGUSDC
2025-05-18 23:50:20.237,0,12,0,12,1,0,0,0,USDCUSDT
2025-05-18 23:50:20.295,0,33,0,33,1,0,0,0,PAXGUSDC
2025-05-18 23:50:20.337,0,49,0,50,1,0,0,0,USDCUSDT
2025-05-18 23:50:20.395,0,8,0,8,1,0,0,0,PAXGUSDC
2025-05-18 23:50:20.463,0,11,0,11,1,0,0,0,USDCUSDT
2025-05-18 23:50:20.488,0,18,0,18,1,0,0,0,PAXGUSDT
2025-05-18 23:50:20.537,0,11,0,11,1,0,0,0,USDCUSDT
2025-05-18 23:50:20.637,0,14,0,14,1,0,0,0,USDCUSDT
2025-05-18 23:50:20.695,0,19,0,20,1,0,0,0,PAXGUSDC
2025-05-18 23:50:20.790,0,25,0,26,1,0,0,0,PAXGUSDT
2025-05-18 23:50:20.839,0,29,0,29,1,0,0,0,USDCUSDT
2025-05-18 23:50:20.937,0,20,0,20,1,0,0,0,USDCUSDT
2025-05-18 23:50:21.039,0,165,0,165,1,0,0,0,USDCUSDT
2025-05-18 23:50:21.137,0,9,0,9,1,0,0,0,USDCUSDT
2025-05-18 23:50:21.295,0,42,0,42,1,0,0,0,PAXGUSDC
2025-05-18 23:50:21.337,0,12,0,12,1,0,0,0,USDCUSDT
2025-05-18 23:50:21.437,0,51,0,51,1,0,0,0,USDCUSDT
2025-05-18 23:50:21.495,0,13,0,13,1,0,0,0,PAXGUSDC
2025-05-18 23:50:21.537,0,14,0,14,1,0,0,0,USDCUSDT
2025-05-18 23:50:21.637,0,15,0,15,1,0,0,0,USDCUSDT
2025-05-18 23:50:21.688,0,36,0,36,1,0,0,0,PAXGUSDT
2025-05-18 23:50:21.738,0,44,0,44,1,0,0,0,USDCUSDT
2025-05-18 23:50:21.888,0,63,0,63,1,0,0,0,PAXGUSDT
2025-05-18 23:50:21.937,0,52,0,53,1,0,0,0,USDCUSDT
2025-05-18 23:50:22.088,0,64,0,64,1,0,0,0,PAXGUSDT
2025-05-18 23:50:22.138,0,69,0,70,1,0,0,0,USDCUSDT
2025-05-18 23:50:22.239,0,70,0,70,1,0,0,0,USDCUSDT
2025-05-18 23:50:22.337,0,10,0,10,1,0,0,0,USDCUSDT
2025-05-18 23:50:22.488,0,37,0,37,1,0,0,0,PAXGUSDT
2025-05-18 23:50:22.589,0,64,0,64,1,0,0,0,PAXGUSDT
2025-05-18 23:50:22.787,0,47,0,47,1,0,0,0,PAXGUSDT
2025-05-18 23:50:22.795,0,20,0,20,1,0,0,0,PAXGUSDC
2025-05-18 23:50:22.837,0,61,0,62,1,0,0,0,USDCUSDT
